Characteristic,Quarterly revenue in thousand euros
Q2 2020,17224793
Q1 2020,17975321
Q4 2019,22425402
Q3 2019,18070107
Q2 2019,19867971
Q1 2019,17293898
Q4 2018,21023544
Q3 2018,16559635
Q2 2018,18670561
Q1 2018,15514118
Q4 2017,19011002
Q3 2017,15964055
Q2 2017,17740506
Q1 2017,15132131
Q4 2016,18727483
Q3 2016,15156284
Q2 2016,17177333
Q1 2016,14125894
Q4 2015,17483164
Q3 2015,14420465
Q2 2015,16488096
Q1 2015,13488824
Q4 2014,17296599
Q3 2014,13936142
Q2 2014,16040768
Q1 2014,14430335
