Characteristic,Gross domestic product in billion U.S. dollars
2026*,515.69
2025*,502.24
2024*,489.5
2023*,477.48
2022*,463.2
2021*,444.52
2020*,362.01
2019*,405.51
2018,437.0
2017,398.39
2016,368.83
2015,385.8
2014,498.41
2013,522.76
2012,509.51
2011,498.28
2010,428.76
2009,386.19
2008,462.25
2007,400.94
2006,345.58
2005,308.88
2004,264.51
2003,228.86
2002,195.53
2001,173.97
2000,171.25
1999,162.29
1998,154.16
1997,161.36
1996,163.52
1995,152.03
1994,127.13
1993,120.58
1992,130.84
1991,121.87
1990,119.79
1989,102.63
1988,101.9
1987,94.23
1986,78.69
