Characteristic,Policyholder surplus in million U.S. dollars
National Indemnity Co.,187617.23
General Re Group,12180.63
Everest Reins. Co.,5276.0
Transatlantic Reinsurance,4813.45
Munich Re America Corp.,4422.48
Swiss Reins. America Corp.,3973.36
Odyssey Reins. Group,3666.49
XL Reins. America,2869.15
Endurance Reins. Corp. of America,2045.0
SCOR U.S. Group/SCOR re,1240.07
Partner Reins. Co.,1169.46
Axis Reins. Co.,900.45
Renaissance Reinsurance U.S. Inc.,722.72
American Agricultural Ins. Co.,639.25
The Toa Reins. Co. of America,581.08
Sirius America Insurance Co.,559.63
EMC Reins. Co.,237.2
