Characteristic,GDP in billion U.S. dollars
2026*,53.29
2025*,49.39
2024*,45.76
2023*,42.22
2022*,38.68
2021*,36.08
2020,34.47
2019,34.19
2018,33.11
2017,28.97
2016,24.52
2015,21.41
2014,20.0
2013,19.27
2012,18.85
2011,19.01
2010,16.0
2009,12.86
2008,12.55
2007,10.33
2006,9.04
2005,8.18
2004,7.27
2003,6.33
2002,5.98
2001,5.89
2000,5.73
1999,5.4
1998,5.25
1997,5.28
1996,4.86
1995,4.72
1994,4.34
1993,4.16
1992,3.87
1991,4.26
1990,3.89
1989,3.78
1988,3.74
1987,3.18
1986,3.06
