Characteristic,0-14 years,15-64 years,65 years and older
Liguria,11%,60.4%,28.6%
Friuli-Venezia Giulia,11.9%,61.7%,26.4%
Umbria,12.3%,61.9%,25.8%
Piedmont,12.2%,62%,25.8%
Tuscany,12.2%,62.2%,25.6%
Molise,11.2%,63.6%,25.2%
Marche,12.4%,62.5%,25.1%
Sardinia,11%,64.6%,24.4%
Aosta Valley,12.9%,62.9%,24.2%
Abruzzo,12.2%,63.5%,24.2%
Emilia-Romagna,12.9%,63%,24.1%
Basilicata,11.7%,64.8%,23.5%
Veneto,13%,63.8%,23.2%
Lombardy,13.4%,63.8%,22.8%
Apulia,12.8%,64.6%,22.5%
Calabria,13.1%,64.8%,22.1%
Lazio,13.1%,64.8%,22%
Sicily,13.6%,64.8%,21.6%
Trentino-South Tyrol,14.9%,64%,21.1%
Campania,14.3%,66.5%,19.2%
