Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,2%
2023*,2%
2022*,1.95%
2021*,0.99%
2020,1.22%
2019,2.46%
2018,2.63%
2017,1.19%
2016,-1.32%
2015,-1.07%
2014,-1.6%
2013,0.39%
2012,2.39%
2011,3.39%
2010,3.04%
2009,2.47%
2008,11.95%
2007,7.57%
2006,7.42%
2005,6.04%
2004,6.15%
2003,2.35%
2002,5.81%
2001,7.36%
2000,10.32%
1999,2.57%
1998,18.68%
1997,"1,061.21%"
1996,123%
1995,62.1%
1994,96%
1993,72.8%
1992,82%
1991,333.5%
1990,23.9%
1989,6.4%
1988,2.5%
1987,2.7%
1986,2.7%
