Characteristic,GDP in billion U.S. dollars
2026*,3538.7
2025*,3442.45
2024*,3342.41
2023*,3242.5
2022*,3138.87
2021*,2938.27
2020,2598.91
2019,2717.2
2018,2791.16
2017,2594.24
2016,2472.28
2015,2439.44
2014,2856.7
2013,2811.92
2012,2685.37
2011,2864.65
2010,2647.35
2009,2697.96
2008,2929.98
2007,2660.91
2006,2320.66
2005,2198.16
2004,2118.67
2003,1844.08
2002,1500.35
2001,1377.67
2000,1366.24
1999,1494.63
1998,1505.18
1997,1454.56
1996,1606.04
1995,1602.13
1994,1396.65
1993,1324.24
1992,1404.39
1991,1273.59
1990,1272.43
1989,1026.18
1988,1020.88
1987,935.12
1986,772.84
