Characteristic,PM2.5 concentration in μg/m³
Toluca,27.1
Tijuana,26.1
Puebla,24.6
Guadalajara,24.5
Garcia,23.9
Emiliano Zapata,23.7
Nezahualcóyotl,23.3
Juarez,22.9
Minatitlán,22.9
Cadereyta Jiménez,22.4
Ecatepec de Morelos,21.3
Tlalnepantla,21.2
Venustiano Carranza,21.1
Santa Catarina,20.7
San Nicolás de los Garza,20.1
Mexicali,19.7
Cuernavaca,19.6
Azcapotzalco,19.2
Guadalupe,19.1
León,19.0
Silao,19.0
General Escobedo,18.9
Mexico City,18.8
Celaya,18.6
Benito Juárez,18.4
