Characteristic,Inflation rate compared to previous year
2026*,5.52%
2025*,5.52%
2024*,5.52%
2023*,5.57%
2022*,5.63%
2021*,5.76%
2020,5.65%
2019,5.48%
2018,5.78%
2017,5.44%
2016,5.92%
2015,6.41%
2014,7.01%
2013,7.54%
2012,6.23%
2011,11.46%
2010,9.37%
2009,4.91%
2008,8.9%
2007,9.11%
2006,6.77%
2005,7.04%
2004,6.1%
2003,5.36%
2002,3.72%
2001,1.91%
2000,2.48%
1999,6.18%
1998,8.65%
1997,4.96%
1996,2.46%
1995,10.12%
1994,6.15%
1993,2.98%
1992,3.62%
1991,8.29%
1990,10.52%
1989,8.73%
1988,9.67%
1987,10.83%
1986,10.18%
