Characteristic,Installed base in millions
Television,284
Digital picture frame,50
Video projector,4
Subscriber DVR,53
Subscriber Non-DVR,103
Subscriber Thin client,41
Subscriber cable DTA,31
Standalone DVR,2
Over-the-air DTA,7
Digital media streaming,77
Video cassette recorder,39
AV receiver w/surround,43
Computer speakers,80
Home theater In-a-box,20
Radio + clock radio,113
Shelf stereo + compact,30
Speaker dock,70
Sound bar,20
Video game console,105
Blu-rau player,48
"CD plauer, standaone",42
DVD player,94
Desktop computer,72
Portable computer,122
Monitor,101
External storage drive,89
Web camera,66
Printer + multi-function,97
Integrated access device,85
Broadband modem,8
Local network equipment,39
Cordless phone,104
Internet-based phone,12
Telephone answering device,11
Mobile non-smart phone,66
Mobile smart phone,238
Bluetooth headset,71
Wireless speaker,140
Video game,52
DVD or Bu-ray player,80
"Media player, MP3 + CD",90
eReader,54
"GPS, handheld",68
Smart watch + wearable,64
Tablet computer,140
Camcorder,54
Digital camera,107
