Characteristic,Beginning of the epidemic,Last 14 days
Total,697617,5769
Zürich,113234,832
Vaud,85145,582
Bern,65514,509
Geneva,63092,392
Aargau,47517,316
St. Gallen,42637,594
Valais,38072,220
Ticino,33060,115
Freiburg,32406,304
Lucerne,28835,350
Thurgau,18380,165
Basel-Landschaft,18164,126
Solothurn,17906,102
Neuchâtel,17615,121
Graubünden,13520,131
Basel-Stadt,13447,127
Schwyz,12229,244
Zug,8371,70
Jura,7316,121
Schaffhausen,4875,65
Appenzell Ausserrhoden,3884,40
Uri,3233,19
Glarus,2790,38
Nidwalden,2692,45
Obwalden,2451,83
Appenzell Innerrhoden,1232,58
