Metropolitan area,Violent crime severity index
"Winnipeg, Manitoba",173.96
"Thunder Bay, Ontario",145.91
"Saskatoon, Saskatchewan",134.73
"Regina, Saskatchewan",132.63
"Edmonton, Alberta",109.08
"Moncton, New Brunswick",106.66
"Brantford, Ontario",100.96
"Greater Sudbury, Ontario",94.45
"Kitchener-Cambridge-Waterloo, Ontario",87.71
"Calgary, Alberta",84.5
"Halifax, Nova Scotia",83.76
"Kelowna, British Columbia",82.19
"St. John's, Newfoundland and Labrador",82.18
"Vancouver, British Columbia",80.25
"Toronto, Ontario",78.06
"Abbotsford-Mission, British Columbia",77.46
"Montréal, Quebec",76.07
"Hamilton, Ontario",74.04
"Saint John, New Brunswick",73.76
"Ottawa-Gatineau, Quebec part",71.15
"Ottawa-Gatineau, Ontario/Quebec",69.39
"Ottawa-Gatineau, Ontario part",68.84
"Windsor, Ontario",67.65
"Kingston, Ontario",66.88
"Peterborough, Ontario",65.67
"Victoria, British Columbia",65.16
"Saguenay, Quebec",64.49
"Trois-Rivières, Quebec",64.17
"London, Ontario",63.86
"Barrie, Ontario",62.08
"Québec, Quebec",57.25
"St.Catharines-Niagara, Ontario",56.75
"Sherbrooke, Quebec",56.32
"Guelph, Ontario",52.09
