Characteristic,Gross domestic product in billion U.S. dollars
2026*,32.35
2025*,30.58
2024*,28.72
2023*,27.74
2022*,25.9
2021*,24.27
2020*,21.8
2019*,39.83
2018*,41.43
2017,30.21
2016,18.56
2015,17.22
2014,24.26
2013,51.9
2012,79.76
2011,32.0
2010,68.97
2009,50.81
2008,73.92
2007,67.69
2006,54.96
2005,47.34
2004,33.0
2003,26.19
2002,20.47
2001,34.11
2000,38.27
1999,35.98
1998,29.96
1997,36.53
1996,35.68
1995,32.69
1994,28.8
1993,30.92
1992,34.36
1991,33.91
1990,30.64
1989,26.59
1988,25.07
1987,22.29
1986,23.99
