Characteristic,All-employees,Full-time,Part-time
2020,15.5%,7.4%,-2.9%
2019,17.4%,9%,-3.5%
2018,17.8%,8.6%,-4.9%
2017,18.4%,9.1%,-5.3%
2016,18.2%,9.4%,-6.1%
2015,19.3%,9.6%,-6.8%
2014,19.2%,9.6%,-5.5%
2013,19.8%,10%,-5.9%
2012,19.6%,9.5%,-5.5%
2011,20.2%,10.5%,-5.1%
2010,19.8%,10.1%,-4.3%
2009,22%,12.2%,-2.5%
2008,22.5%,12.6%,-3.7%
2007,21.9%,12.5%,-2.2%
2006,22.2%,12.8%,-2.2%
2005,22.6%,13%,-3%
2004,24.7%,14.5%,-2.6%
2003,25.1%,14.6%,-1.3%
2002,26.9%,15.5%,-0.6%
2001,26.3%,16.4%,-3.7%
2000,26.7%,16.3%,-3.5%
1999,26.9%,16.4%,-2.6%
1998,27.3%,17.4%,-4%
1997,27.5%,17.4%,0.6%
