Characteristic,Wage in current U.S. dollars
2019,15.35
2018,14.99
2017,14.63
2016,14.0
2015,13.44
2014,13.14
2013,12.93
2012,12.8
2011,12.71
2010,12.5
2009,12.44
2008,12.23
2007,11.95
2006,11.76
2005,11.19
2004,11.0
2003,10.85
2002,10.47
2001,10.19
2000,9.91
1999,9.53
1998,9.1
1997,8.75
1996,8.4
1995,8.17
1994,8.01
1993,7.87
1992,7.72
1991,7.5
1990,7.23
1989,6.99
1988,6.73
1987,6.47
1986,6.2
1985,6.03
1984,5.83
1983,5.59
1982,5.4
1981,5.15
1980,4.82
1979,4.44
