Characteristic,Share of respondents
"Clothing, shoes and other accessories**",93%
Retail stores,91%
Groceries/food and beverages,90%
Electronic devices,89%
Health and beauty aids**,89%
Goods for the home**,84%
Websites or social networking sites**,82%
Products or services for digital services**,82%
Large electronic items,81%
Small household appliances,80%
Large household appliances,76%
Vacation or travel arrangements,71%
Automobile or other vehicles,71%
Pets and pet care,70%
Health and medical services,64%
Property insurance,58%
Health insurance coverage,53%
Financial investments/services**,53%
Life insurance coverage**,52%
