Characteristic,Number of employees
FMF Group AB,1350
Atria Sverige AB,968
Meritor HVS AB,932
Örebro Rådhus AB,908
Dressmann AB,658
Textilia Tvätt & Textilservice AB,603
Nordica Assistans AB,594
Linde Material Handling AB,453
Kopparbergs Bryggeri AB,451
Cambrex Karlskoga AB,438
Würth Svenska AB,436
Radiator VVS AB,435
Zinkgruvan Mining AB,429
Kraft Assistans AB,403
Suzuki Garphyttan AB,375
BAE Systems Bofors AB,360
Orica Sweden AB,344
Bharat Forge Kilsta AB,338
Akustikbyggarna Sverige AB,327
V7 Förvaltning AB,323
