Characteristic,Box office revenue in million U.S. dollars
Avengers: Endgame,357.12
Avengers: Infinity War,257.7
Star Wars: Episode VII - The Force Awakens,247.97
Star Wars: Episode VIII - The Last Jedi,220.01
Jurassic World,208.81
The Avengers,207.44
Black Panther,202.0
The Lion King,191.77
Avengers: Age of Ultron,191.27
Incredibles 2,182.69
Captain America: Civil War,179.14
Star Wars: Episode IX - The Rise of Skywalker,177.38
Beauty and the Beast,174.75
Iron Man 3,174.14
Harry Potter and the Deathly Hallows: Part 2,169.19
