Characteristic,Premium stores as percentage of all stores
Knightsbridge,54%
Bicester Village Factory Outlet,45.1%
Bond Street,32.2%
Regent Street South,30.3%
Westfield London Shopping Centre,20.3%
Chelsea,18.2%
Cheshire Oaks Designer Outlet,17.6%
Oxford Street,17.3%
Gloucester Quays Designer Outlet,16.1%
Bluewater Shopping Centre,13.8%
Ashford Designer Outlet,13.2%
Covent Garden,13%
Gunwharf Quays Factory Outlet,13%
Brent Cross Shopping Centre,12.9%
Great Western Designer Village,12.5%
