Characteristic,Revenue in million U.S. dollars
Texas Longhorns (Big 12),121
Alabama Crimson Tide (SEC),97
Tennessee Volunteers (SEC),94
Michigan Wolverines (Big Ten),88
Auburn Tigers (SEC),87
LSU Tigers (SEC),86
Notre Dame Fighting Irish (Independent),86
Ohio State Buckeyes (Big Ten),84
Oklahoma Sooners (Big 12),79
Georgia Bulldogs (SEC),76
Florida Gators (SEC),75
Penn State Nittany Lions (Big Ten),71
Florida State Seminoles,70
Washington Huskies (Pac-12),67
Arkansas Razorbacks (SEC),66
Texas A&M Aggies (SEC),62
Oregon Ducks (Pac-12),61
South Carolina Gamecocks (SEC),60
USC Trojans (Pac-12),60
Michigan State Spartans (Big Ten),59
