Characteristic,Market (transfer) value in million euros
André Onana (Ajax),36.0
David Neres (Ajax),36.0
Nicolás Tagliafico (Ajax),28.0
Donyell Malen (PSV),25.0
Lisandro Martínez (Ajax),20.0
Mohamed Ihattaren (PSV),20.0
Dusan Tadic (Ajax),20.0
Daley Blind (Ajax),20.0
Antony (Ajax),18.0
Sergiño Dest (Ajax),18.0
Calvin Stengs (AZ),18.0
Myron Boadu (AZ),18.0
Orkun Kökcü (Feyenoord),17.5
Quincy Promes (Ajax),17.5
Philipp Max (PSV),15.0
Teun Koopmeiners (AZ),14.5
Marcos Senesi (Feyenoord),13.5
Oussama Idrissi (AZ),12.0
Denzel Dumfries (PSV),12.0
Steven Berghuis (Feyenoord),11.0
Owen Wijndal (AZ),11.0
Ryan Gravenberch (Ajax),11.0
Luis Sinisterra (Feyenoord),10.0
Noussair Mazraoui (Ajax),9.5
Mohammed Kudus (Ajax),8.0
