Characteristic,Gross domestic product in billion U.S. dollars
2026*,627.01
2025*,599.57
2024*,572.85
2023*,545.82
2022*,515.45
2021*,476.66
2020*,418.72
2019,398.38
2018,386.69
2017,337.55
2016,299.15
2015,291.56
2014,259.1
2013,238.22
2012,224.95
2011,237.7
2010,222.46
2009,236.5
2008,276.09
2007,270.15
2006,232.05
2005,211.8
2004,194.33
2003,164.62
2002,128.51
2001,109.25
2000,10.0
1999,98.87
1998,90.24
1997,82.91
1996,75.88
1995,69.22
1994,55.81
1993,51.33
1992,54.88
1991,48.81
1990,48.17
1989,38.01
1988,36.85
1987,33.64
1986,28.5
