Characteristic,2018,2019
Spain,48.3,49.6
Portugal,33.4,33.7
Croatia,40.2,32.0
France,28.8,29.4
Belgium,29.9,27.7
Czechia,26.6,27.2
Finland,21.3,25.9
Italy,24.7,25.3
United Kingdom,24.3,24.7
Austria,24.5,23.4
Norway,19.6,21.3
Slovenia,21.9,21.0
Sweden,19.1,19.6
Estonia,25.4,19.2
Hungary,17.3,18.6
Switzerland,18.6,18.3
Lithuania,15.9,17.9
Slovakia,14.4,17.8
Ireland,16.9,17.7
Denmark,17.2,17.6
Netherlands,16.4,15.1
Poland,13.1,13.3
Germany,11.6,11.3
Latvia,12.6,10.0
Luxembourg,11.7,8.3
Greece,4.1,5.5
Cyprus,1.7,5.0
Romania,3.3,4.4
Bulgaria,2.3,2.3
