Characteristic,Turnover in million SEK
Skellefteå Stadshus AB,5328
Komatsu Forest AB,3366
Umeå Kommunföretag AB,2842
Ålö Holding AB,2054
Martinson Group AB,1850
Skellefteå Bil Holding AB,1490
Wipro Infrastructure Engineering AB,1468
Thorengruppen AB,1310
Umia Sweden AB,1172
Umia Holding AB,1172
Vitec Software Group AB (publ),1156
Rekab Entreprenad AB,1056
Contractor Bygg Holding Norr AB,1032
Fastec Sverige AB,1014
Kung Fu Invest AB,848
P.Wikström J:r AB,832
Norrlands Etanolkraft AB,824
A3 Allmänna IT - och Telekom AB (publ),804
Umeå Release Finans AB,729
Motorcentralen Förvaltning i Umeå AB,720
