Characteristic,Residents per square mile of land area
2019 (July 1)*,92.9
2010 (April 1),87.4
2000 (April 1),79.6
1990 (April 1),70.3
1980 (April 1),64.0
1970 (April 1),57.5
1960 (April 1),50.6
1950 (April 1),42.6
1940 (April 1),37.2
1930 (April 1),34.7
1920 (January 1),29.9
1910 (April 15),26.0
1900 (June 1),21.5
1890 (June 1),17.8
1880 (June 1),14.2
1870 (June 1),11.2
1860 (June 1),10.6
1850 (June 1),7.9
1840 (June 1),9.8
1830 (June 1),7.4
1820 (August 7),5.5
1810 (August 6),4.3
1800 (August 4),6.1
1790 (August 2),4.5
