Characteristic,Certified sales in millions
Eagles - Eagles/Their Greatest Hits 1971-1975,38
Michael Jackson - Thriller,33
Eagles - Hotel California,26
AC/DC - Back in Black,25
The Beatles - The Beatles,24
Led Zeppelin - Led Zeppelin IV,23
Billy Joel - Greatest Hits Volume I & Volume II,23
Pink Floyd - The Wall,23
Garth Brooks - Double Live,21
Hootie & The Blowfish - Cracked Rear View,21
Fleetwood Mac - Rumours,20
Shania Twain - Come on Over,20
Guns N' Roses - Appetite for Destruction,18
Whitney Houston - The Bodyguard (Soundtrack),18
Garth Brooks - No Fences,18
Elton John - Greatest Hits,17
Boston - Boston,17
The Beatles - The Beatles 1967-1970,17
Alanis Morissette - Jagged Little Pill,16
Bee Gees - Saturday Night Fever (Soundtrack),16
Led Zeppelin - Physical Graffiti,16
Metallica - Metallica,16
