Characteristic,Net worth (in billion U.S. dollars)
"Carlos Slim Helu, Mexico",74.0
"Bill Gates, U.S.",56.0
"Bernard Arnault, France",41.0
"Lakshmi Mittal, India",31.1
"Amancio Ortega, Spain",31.0
"Eike Batista, Brazil",30.0
"Li Ka-shing, Hongkong",26.0
"Karl Albrecht, Germany",25.5
"Stefan Persson, Sweden",24.5
"Vladimir Lisin, Russia",24.0
"David Thomson, Canada",23.0
"Prince Alwaleed Bin Talal Alsaud, Saudi Arabia",19.6
"Iris Fontbona, Chile",19.2
"Michele Ferrero, Italy",18.0
"Rinat Akhmetov, Ukraine",16.0
"Aliko Dangote, Nigeria",13.8
"Gerald Cavendish Grosvenor, Great Britain",13.0
"Robert Kuok, Malaysia",12.5
"John Fredriksen, Cyprus",10.7
"Luis Carlos Sarmiento, Colombia",10.5
"Nasser Al-Kharafi, Kuwait",10.4
"Sammy Ofer, Israel",10.3
"Ernesto Bertarelli, Switzerland",10.0
"Liang Wengen, China",9.3
"Petr Kellner, Czech Republik",9.2
"Gina Rinehart, Australia",9.0
"Lee Kun-Hee, South Korea",8.6
"Masayoshi Son, Japan",8.1
"Charlene de Cavalho-Heineken, Netherlands",7.5
"Cher Wang and Wenchi Chen, Taiwan",6.8
"Nassef Sawiris, Egypt",5.6
"Carlos and Alejandro Bulgheroni, Argentina",5.1
"Dietrich Mateschitz, Austria",5.0
"Spiro Latsis, Greece",4.8
"Kjeld Kirk Kristiansen, Denmark",4.7
