Characteristic,Fertility rate
2020,1.75
2015,1.87
2010,1.86
2005,1.66
2000,1.74
1995,1.78
1990,1.84
1985,1.78
1980,1.73
1975,2.01
1970,2.57
1965,2.81
1960,2.49
1955,2.18
1950,2.38
1945,2.0
1940,1.8
1935,1.79
1930,2.01
1925,2.4
1920,2.42
1915,2.84
1910,3.13
1905,3.4
1900,3.63
1895,3.9
1890,4.18
1885,4.54
1880,4.85
1875,4.91
1870,4.91
1865,4.93
1860,4.89
1855,4.88
1850,4.76
1845,4.82
1840,4.85
1835,4.86
1830,5.07
1825,5.52
1820,5.56
1815,5.53
1810,5.39
1805,5.34
1800,4.97
