Characteristic,Gross domestic product in billion U.S. dollars
2026*,108.62
2025*,101.75
2024*,95.33
2023*,89.35
2022*,84.9
2021*,81.4
2020*,77.07
2019,76.69
2018,73.12
2017,71.58
2016,66.03
2015,62.18
2014,57.84
2013,52.99
2012,49.9
2011,47.42
2010,41.49
2009,38.0
2008,40.24
2007,35.03
2006,31.31
2005,28.18
2004,24.98
2003,23.09
2002,21.92
2001,19.74
2000,18.12
1999,17.39
1998,18.44
1997,16.98
1996,14.99
1995,14.04
1994,12.5
1993,11.03
1992,10.15
1991,9.16
1990,7.49
1989,8.56
1988,7.43
1987,6.86
1986,5.92
