Industry,Real value added in billion chained (2012) U.S. dollars
"Mining, quarrying, and oil and gas extraction",233.08
"Finance, insurance, real estate, rental, and leasing",244.35
Manufacturing,234.05
Professional and business services,203.21
Government and government enterprises,164.34
Wholesale trade,118.76
"Educational services, health care, and social assistance",109.84
Retail trade,91.32
Information,72.26
Construction,69.84
Transportation and warehousing,49.23
"Arts, entertainment, recreation, accommodation, and food services",40.15
Utilities,75.63
"Agriculture, forestry, fishing, and hunting",10.52
