Characteristic,GDP in million chained 2012 Canadian dollars
"Mining, quarrying, and oil and gas extraction",876.1
Construction,585.1
Public administration,561.5
Real estate and rental and leasing,271.6
Educational services,220.3
Health care and social assistance,181.5
Retail trade,101.9
Transportation and warehousing,71.5
Utilities,67.4
Information and cultural industries,62.8
"Administrative and support, waste management and remediation services",59.6
Finance and insurance,43.3
Wholesale trade,41.7
Accommodation and food services,32.1
"Professional, scientific and technical services",27.3
Other services (except public administration),25.1
Management of companies and enterprises,12.3
Manufacturing,7.6
"Agriculture, forestry, fishing and hunting",2.9
"Arts, entertainment and recreation",1.2
