Characteristic,Life expectancy in years
2020,69.27
2015,67.77
2010,65.53
2005,63.5
2000,61.47
1995,59.12
1990,56.69
1985,54.91
1980,52.51
1975,49.37
1970,46.1
1965,42.94
1960,39.93
1955,36.98
1950,33.94
1945,32.74
1940,31.61
1935,29.97
1930,27.98
1925,25.75
1920,21.16
1915,23.53
1910,22.15
1905,22.79
1900,22.01
1895,23.55
1890,24.54
1885,25.21
1880,21.98
1875,25.38
1870,23.66
1865,24.68
1860,24.95
1855,25.44
1850,25.44
1845,25.44
1840,24.91
1835,24.27
1830,25.44
1825,25.44
1820,25.44
1815,24.95
1810,25.44
1805,24.68
1800,25.44
