Characteristic,Inflation rate compared to previous year
2026*,1.7%
2025*,1.7%
2024*,1.6%
2023*,1.5%
2022*,1.4%
2021*,1.2%
2020*,0.61%
2019,1.11%
2018,1.28%
2017,0.78%
2016,-1.44%
2015,0.14%
2014,-0.24%
2013,1.51%
2012,2.54%
2011,4.47%
2010,2.07%
2009,1.01%
2008,6.77%
2007,4.4%
2006,4.84%
2005,0.43%
2004,-1.89%
2003,1.19%
2002,1.92%
2001,3.67%
2000,-2.4%
1999,4.34%
1998,4.4%
1997,8.57%
1996,6.01%
1995,8.41%
1994,3.34%
1993,5.83%
1992,13.43%
1991,7.59%
1990,11.11%
1989,4.65%
1988,3.61%
1987,3.75%
1986,11.11%
