Characteristic,Expenditure in million NOK
Total expenditure,1514823
Operating costs,202671
Wages and salaries,100170
Goods and services,64714
Other operating expenses,39130
Operating deficit central government enterprises,-1343
Total fixed capital formation,71068
Construction etc. extraction of petroleum,23800
Construction etc. other central government enterprises,4090
Other fixed capital formation,43178
Total transfers,1241084
Transfers to other state accounts,68004
Transfers to municipalities and county authorities,253539
Pensions benefits etc. National Insurance Scheme,522982
Interest expenditure,10161
Other transfers,386398
