Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",39.26
Manufacturing,29.91
Government and government enterprises,18.5
"Agriculture, forestry, fishing, and hunting",14.69
"Educational services, health care, and social assistance",12.22
Professional and business services,11.84
Wholesale trade,9.59
Retail trade,9.41
Construction,5.82
Transportation and warehousing,4.59
Information,5.23
"Arts, entertainment, recreation, accommodation, and food services",3.54
Utilities,3.1
"Mining, quarrying, and oil and gas extraction",0.45
