Characteristic,Gross domestic product in billion U.S. dollars
2026*,63.65
2025*,59.19
2024*,55.1
2023*,51.29
2022*,48.07
2021*,44.89
2020*,39.02
2019,38.86
2018,38.71
2017,35.0
2016,32.64
2015,30.93
2014,35.0
2013,32.36
2012,29.12
2011,29.37
2010,26.19
2009,26.09
2008,26.51
2007,22.4
2006,19.37
2005,17.97
2004,17.44
2003,14.56
2002,11.59
2001,10.38
2000,9.8
1999,10.7
1998,10.5
1997,10.51
1996,10.39
1995,9.33
1994,9.83
1993,14.45
1992,13.85
1991,15.11
1990,13.55
1989,13.54
1988,15.18
1987,14.95
1986,12.91
