Characteristic,Average salary in SEK
Financial institutions and insurance companies,52600
Information and communication companies,46100
"Electricity, gas, steam and hot water plants",43300
"Professional, scientific and technical companies",43100
Mines and quarries,41100
Public authorities and national defence,37800
Real estate companies,37500
Manufacturing industry,37500
Construction industry,35600
"Water works; sewage plants, waste-disposal plants",34800
Trade; repair establishments for motor vehicles and motorcycles,34400
Educational establishments,33200
Human health and social work establishments,32500
Other service companies,32400
Transport and storage companies,32200
"Establishments for arts, entertainment and recreation",30700
Administrative and support service companies,30200
"Companies in agriculture, forestry and fishing",28900
Hotels and restaurants,26200
