Characteristic,Share of respondents
High delivery costs,58.2%
Language problems,21.7%
Customs clearance,42.9%
Non-transparent costs,41.2%
Uncertainty with problems,29.7%
No demand because all products are obtainable locally,17.5%
Long delivery times,56.1%
Unknown product quality,33%
Complicated return process,44.9%
Concerns regarding data protection,22.7%
Fear of fraud,43.5%
Uncertain delivery,33.1%
Concern about misuse of payment data,32.6%
"Uncertainty regarding warranty terms, payment process, legal situation, etc.",43.3%
