Characteristic,Mobile reach
Google Play Games,10%
Pokémon GO,5.7%
Candy Crush Saga,5.5%
GameSpot (main),5.4%
IGN,5.1%
Wordscapes,4.8%
Lucky Money,4.7%
Game Launcher (for Samsung),3.7%
Words With Friends,3.7%
Solitaire by MobilityWare,3.7%
Candy Crush Soda Saga,3.2%
Steam Community Activity,2.8%
Coin Master,2.6%
Trivia Today,2.3%
Nintendo,2.3%
Homescapes,2.3%
Xbox,2.3%
Zynga (main),2.3%
Gardenscapes - New Acres,2.3%
Mario Kart Tour,2.3%
Kotaku,2.1%
Gamepedia,2%
Cookie Jam,1.9%
POP! Slots,1.9%
Toon Blast,1.8%
Game Tools (for Samsung),1.8%
GamesRadar+,1.8%
Lucky Time,1.8%
Sudoku,1.6%
EA,1.6%
