Characteristic,Domestic,International
February 2019,2081,1318
February 2020,1987,1097
March 2019,2333,1319
March 2020,1319,687
April 2019,2284,1399
April 2020,49,43
May 2019,2217,1294
May 2020,62,29
June 2019,2096,1306
June 2020,140,32
July 2019,2388,1459
July 2020,276,42
August 2019,2297,1374
August 2020,91,39
September 2019,2286,1365
September 2020,98,34
October 2019,2541,1435
October 2020,187,38
November 2020,307,43
December 2020,695,44
January 2021,196,33
February 2021,596,27
March 2021,1120,33
