Characteristic,Gross domestic product in billion U.S. dollars
2026*,469.26
2025*,448.79
2024*,429.36
2023*,410.34
2022*,391.91
2021*,374.39
2020*,339.98
2019,374.39
2018,375.96
2017,343.33
2016,318.75
2015,308.0
2014,314.86
2013,307.58
2012,295.09
2011,279.36
2010,239.81
2009,194.15
2008,193.62
2007,180.94
2006,148.63
2005,127.81
2004,115.03
2003,97.65
2002,92.54
2001,89.79
2000,96.08
1999,86.29
1998,85.73
1997,100.12
1996,96.29
1995,87.81
1994,73.69
1993,60.6
1992,52.13
1991,45.47
1990,38.89
1989,31.44
1988,26.55
1987,21.63
1986,18.78
