Characteristic,Light trucks,Autos,Heavy trucks
Dec 2019,1138.9,374.1,46.2
Jan 2020,843.3,293.2,31.9
Feb 2020,1004.1,346.5,33.1
Mar 2020,725.2,264.7,33.4
Apr 2020,548.9,166.4,28.0
May 2020,860.6,258.5,23.6
Jun 2020,849.8,251.2,30.4
Jul 2020,944.1,292.6,31.8
Aug 2020,1018.3,299.8,36.3
Sep 2020,1036.3,304.8,38.6
Oct 2020,1045.4,313.6,40.4
Nov 2020,921.5,277.6,36.1
Dec 2020,1272.6,332.9,45.9
Jan 2021,856.2,247.5,35.4
Feb 2021,935.7,262.2,32.9
Mar 2021,1235.0,364.9,45.6
Apr 2021,1163.7,348.4,40.9
