Characteristic,Wage in constant 2019 U.S. dollars
2019,15.35
2018,15.26
2017,15.26
2016,14.91
2015,14.5
2014,14.21
2013,14.21
2012,14.29
2011,14.48
2010,14.69
2009,14.86
2008,14.56
2007,14.77
2006,14.94
2005,14.69
2004,14.93
2003,15.11
2002,14.91
2001,14.75
2000,14.75
1999,14.66
1998,14.31
1997,13.93
1996,13.68
1995,13.66
1994,13.72
1993,13.76
1992,13.84
1991,13.76
1990,13.75
1989,13.95
1988,14.02
1987,13.97
1986,13.84
1985,13.7
1984,13.72
1983,13.7
1982,13.78
1981,13.96
1980,14.26
1979,14.61
