Characteristic,Spending in U.S. dollars
Netherlands,307
Trinidad and Tobago,301
Lebanon,152
South africa,141
Hungary,119
Jamaica,92
Brazil,89
Argentina,85
Costa Rica,82
Peru,77
Colombia,72
Serbia,54
Azerbaijan,48
Bosnia and Herzegovnia,46
Solomon Islands,46
El Salvador,43
Albania,41
Senegal,27
Lesotho,26
Mauritania,22
Bhutan,21
Nepal,19
Kyrgyzstan,16
Burkina Faso,15
Mali,14
Zambia,14
Kenya,9
Paraguay,9
Bangladesh,7
Mozambique,6
Pakistan,6
Haiti,5
Indonesia,3
Malawi,2
Madagascar,1
