Characteristic,Ticket price in U.S. dollars
Boston Red Sox,167
New York Yankees,145
Los Angeles Dodgers,108
Washington Nationals,102
St. Louis Cardinals,101
Chicago Cubs,93
Cleveland Indians,92
Chicago White Sox,81
Philadelphia Phillies,75
Houston Astros,73
Oakland Athletics,73
Minnesota Twins,73
Kansas City Royals,72
Toronto Blue Jays**,70
Arizona Diamondbacks,69
Texas Rangers,68
Milwaukee Brewers,68
Colorado Rockies,65
New York Mets,64
Seattle Mariners,64
Los Angeles Angels,63
San Francisco Giants,62
Pittsburgh Pirates,58
Atlanta Braves,58
San Diego Padres,58
Miami Marlins,57
Tampa Bay Rays,56
Cincinnati Reds,55
Detroit Tigers,53
Baltimore Orioles,52
