Characteristic,Unemployment rate
Jun '20,7%
May '20,7%
Apr '20,7%
Mar '20,6.1%
Feb '20,5.5%
Jan '20,5.5%
Dec '19,5.4%
Nov '19,5.4%
Oct '19,5.3%
Sep '19,5.3%
Aug '19,5.4%
Jul '19,5.4%
Jun '19,5.5%
May '19,5.4%
Apr '19,5.4%
Mar '19,5.4%
Feb '19,5.2%
Jan '19,5.1%
Dec '18,5.1%
Nov '18,5.2%
Oct '18,5.3%
Sep '18,5.3%
Aug '18,5.5%
Jul '18,5.5%
Jun '18,5.5%
May '18,5.6%
Apr '18,5.6%
Mar '18,5.7%
Feb '18,5.7%
Jan '18,5.7%
Dec '17,5.8%
Nov '17,5.7%
Oct '17,5.8%
Sept '17,5.9%
