Characteristic,Number of total votes
Conservative,6155662
Liberal,5915950
NDP-New Democratic Party,2849214
Bloc Québécois,1376135
Green Party,1162361
People's Party,292703
Independent,71854
Christian Heritage Party,18816
Parti Rhinocéros Party,9567
Libertarian,8281
VCP,6209
ML,4492
Animal Protection Party,4407
Communist,4248
Pour l'Indépendance du Québec,3792
No Affiliation,1766
PC Party,1556
Radical Marijuana,852
CFF - Canada's Fourth Front,700
UPC,612
National Citizens Alliance,507
Stop Climate Change,296
Nationalist,284
