Characteristic,Area in square kilometers
Cuba,110860
Dominican Republic,48670
Haiti,27750
Bahamas,13880
Jamaica,10991
Puerto Rico,9104
Trinidad and Tobago,5128
Virgin Islands (US),1910
Turks and Caicos Islands,948
Dominica,751
Saint Lucia,616
Curaçao,444
Antigua and Barbuda,443
Barbados,430
Saint Vincent andthe Grenadines,389
Grenada,344
Cayman Islands,264
Saint Kitts and Nevis,261
Aruba,180
Virgin Islands (UK),151
Montserrat,102
Anguilla,91
Saint Martin,54
Bermuda,54
Sint Maarten,34
Saint Barthélemy,25
