Characteristic,Gross domestic product in billion U.S. dollars
2026*,138.8
2025*,125.51
2024*,113.62
2023*,101.97
2022*,92.91
2021*,93.97
2020,96.61
2019,92.61
2018,80.21
2017,76.84
2016,72.12
2015,63.08
2014,54.17
2013,46.54
2012,42.22
2011,30.48
2010,26.89
2009,28.67
2008,26.25
2007,19.33
2006,15.31
2005,12.39
2004,10.12
2003,8.6
2002,7.83
2001,8.1
2000,8.17
1999,7.52
1998,7.82
1997,8.62
1996,8.79
1995,7.89
1994,8.14
1993,9.14
1992,14.7
1991,13.93
1990,12.6
1989,11.87
1988,11.29
1987,10.89
1986,10.19
