Characteristic,Percentage of population
Chiapas,76.4%
Guerrero,66.5%
Oaxaca,66.4%
Veracruz,61.8%
Puebla,58.9%
Tabasco,53.6%
Morelos,50.8%
Tlaxcala,48.4%
Zacatecas,46.8%
Campeche,46.2%
Michoacán,46%
Hidalgo,43.8%
San Luis Potosí,43.4%
Guanajuato,43.4%
State of Mexico,42.7%
National average,41.9%
Yucatán,40.8%
Durango,37.3%
Tamaulipas,35.1%
Nayarit,34.8%
Sinaloa,30.9%
Colima,30.9%
Mexico City,30.6%
Jalisco,28.4%
Sonora,28.2%
Quintana Roo,27.6%
Querétaro,27.6%
Chihuahua,26.3%
Aguascalientes,26.2%
Baja California,23.3%
Coahuila,22.5%
Baja California Sur,18.1%
Nuevo León,14.5%
