Industry,Real value added in billion chained (2012) U.S. dollars
"Mining, quarrying, and oil and gas extraction",11.63
Government and government enterprises,9.55
Transportation and warehousing,5.35
"Finance, insurance, real estate, rental, and leasing",5.58
"Educational services, health care, and social assistance",3.87
Professional and business services,2.98
Retail trade,2.19
Manufacturing,1.92
"Arts, entertainment, recreation, accommodation, and food services",1.12
Information,1.22
Construction,1.54
Wholesale trade,1.26
Utilities,0.79
"Agriculture, forestry, fishing, and hunting",0.35
