Characteristic,Import value in billion U.S. dollars
Transportation equipment,195.6
Oil & gas,82.43
Computer and electronic products,72.92
Machinery; except electrical,38.01
Electrical equipment; appliances & components,35.45
Primary metal mfg,30.18
Chemicals,30.02
Food manufactures,25.85
Goods ret to ca (exp); us goods ret & reimps (imp),24.04
Agricultural products,18.84
Fabricated metal products; nesoi,16.04
Plastics & rubber products,14.27
Petroleum & coal products,13.84
Miscellaneous manufactured commodities,12.45
Paper,9.69
