Characteristic,Franchise value in million U.S. dollars
New York Yankees,5250
Los Angeles Dodgers,3570
Boston Red Sox,3465
Chicago Cubs,3360
San Francisco Giants,3175
New York Mets,2450
St. Louis Cardinals,2245
Philadelphia Phillies,2050
Los Angeles Angels,2025
Washington Nationals,1925
Atlanta Braves,1875
Houston Astros,1870
Texas Rangers,1785
Chicago White Sox,1685
Toronto Blue Jays,1675
Seattle Mariners,1630
San Diego Padres,1500
Baltimore Orioles,1430
Minnesota Twins,1325
Arizona Diamondbacks,1320
Colorado Rockies,1300
Pittsburgh Pirates,1285
Detroit Tigers,1260
Milwaukee Brewers,1220
Cleveland Indians,1160
Oakland Athletics,1125
Cincinnati Reds,1085
Kansas City Royals,1060
Tampa Bay Rays,1055
Miami Marlins,990
