Characteristic,GDP in million chained 2012 Canadian dollars
"Mining, quarrying, and oil and gas extraction",20975.8
Real estate and rental and leasing,7707.7
"Agriculture, forestry, fishing and hunting",7207.1
Construction,5716.9
Manufacturing,4959.9
Health care and social assistance,4733.0
Public administration,4139.4
Wholesale trade,3864.3
Transportation and warehousing,3738.8
Educational services,3622.0
Retail trade,3149.5
Finance and insurance,2603.4
Utilities,1816.2
"Professional, scientific and technical services",1596.5
Information and cultural industries,1332.5
Accommodation and food services,1203.7
Other services (except public administration),1155.9
"Administrative and support, waste management and remediation services",841.0
"Arts, entertainment and recreation",435.3
Management of companies and enterprises,279.8
