Product name (company),Revenue in million U.S. dollars
Copaxone (Teva),3171
Tecfidera (Biogen),3118
Gilenya (Novartis,1714
Avonex (Biogen),1685
Invega Sustenna (Janssen),1304
Latuda (Sunovion),1286
Tysabri (Biogen),1179
Rebif (Pfizer),1084
Aubagio (Sanofi),923
Namenda XR (Allergan),682
Seroquel XR (AstraZeneca),633
Pristiq (Pfizer),516
Ampyra (Acorda),479
Abilify Maintena (Otsuka),428
Betaseron (Bayer),420
Risperdal Consta (J&J),380
Abilify (Otsuka),322
Plegridy (Biogen),315
Trintellix (Takeda),297
Wellbutrin XL (Valeant),279
