Characteristic,Sweden,Finland,Norway,Denmark
2017,2.1%,-1.1%,2.4%,1.3%
2016,2.8%,1.3%,1.4%,1.3%
2015,2.7%,1.4%,2.7%,1.8%
2014,2.2%,1%,3.2%,1.5%
2013,1.9%,1.3%,4.5%,1.6%
2012,3.1%,2.8%,4.5%,1.8%
2011,3.2%,3.6%,4.7%,1.4%
2010,2.2%,2.2%,3.2%,3.2%
2009,2.7%,2%,3.4%,2.8%
2008,3.7%,4.3%,6.2%,3.9%
2007,5.3%,3.3%,6.3%,3.7%
2006,3.1%,3.4%,5.5%,3.5%
2005,3.1%,3.5%,4.7%,3.4%
2004,4.2%,3.6%,4.3%,3.2%
2003,3.7%,2.2%,4.1%,3.5%
2002,3.2%,1.7%,4.3%,3.7%
2001,4.2%,3.6%,5.7%,4%
2000,6.8%,3.9%,4.9%,3.1%
