Characteristic,Value of transactions in million USD
Peer-to-Peer consumer lending,2889.4
Peer-to-Peer business lending,996.8
Invoice trading,803.0
Equity-based crowdfunding,278.1
Reward-based crowdfunding,175.4
Real estate crowdfunding,600.1
Peer-to-peer property lending,144.7
Balance sheet business lending,80.5
Donation-based crowdfunding,62.4
Debt-based securities,167.8
Balance sheet consumer lending,99.8
Mini-Bonds,42.8
Revenue Sharing,3.5
Balance sheet property lending,1378.4
Community shares,1.6
Other,6.3
