Characteristic,Solar*,Wind,Conventional hydroelectric power
20,90891,337510,291111
19,71937,295882,287874
18,63825,272667,292524
17,53286,254303,300333
16,36054,226993,267812
15,24893,190719,249080
14,17691,181655,259367
13,9036,167840,268565
12,4327,140822,276240
11,1818,120177,319355
10,1212,94652,260203
9,891,73886,273445
8,864,55363,254831
7,612,34450,247510
6,508,26589,289246
5,550,17811,270321
4,575,14144,268417
3,534,11187,275806
2,555,10354,264329
1,543,6737,216961
0,493,5593,275573
