Characteristic,The UK government handled things much better than this country,A little better,About the same,A little worse,The UK government handled things much worse than this country,Don’t know
China,13%,13%,17%,18%,16%,23%
Italy,8%,16%,32%,17%,12%,14%
Germany,5%,9%,19%,21%,30%,16%
France,6%,11%,34%,20%,12%,18%
Spain,7%,15%,32%,19%,11%,16%
United States,27%,27%,22%,7%,5%,11%
South Korea,6%,7%,13%,17%,34%,23%
Japan,5%,9%,21%,16%,19%,30%
Australia,4%,7%,18%,21%,27%,22%
Sweden,9%,16%,20%,19%,13%,23%
