Characteristic,Monetary policy rate
Argentina*,26.42%
Haiti,12%
Mexico,7.64%
Barbados*,7%
Brazil,6.56%
Grenada*,6.5%
Antigua and Barbuda*,6.5%
Dominica*,6.5%
Saint Lucia*,6.5%
Saint Vincent and the Grenadines*,6.5%
Saint Kitts and Nevis*,6.5%
Venezuela*,6.37%
Honduras,5.5%
Dominican Republic,5.38%
Paraguay,5.25%
Costa Rica,5.01%
Guyana*,5%
Trinidad and Tobago,4.91%
Jamaica*,4.52%
Colombia,4.31%
Nicaragua*,4%
Bahamas*,4%
El Salvador*,2.83%
Peru,2.79%
Guatemala,2.75%
Chile,2.56%
Bolivia,2.5%
