Characteristic,Consumer price index (2015=100)
Feb 2021,117.57
Jan 2021,117.52
Dec 2020,117.25
Nov 2020,117.09
Oct 2020,117.13
Sep 2020,116.31
Aug 2020,116.3
Jul 2020,116.28
Jun 2020,115.55
May 2020,115.08
Apr 2020,114.92
Mar 2020,114.95
Feb 2020,115.02
Jan 2020,114.69
Dec 2019,114.23
Nov 2019,114.12
Oct 2019,113.99
Sep 2019,113.97
Aug 2019,113.76
Jul 2019,113.69
Jun 2019,113.04
May 2019,112.42
Apr 2019,112.45
Mar 2019,112.48
Feb 2019,112.18
Jan 2019,111.58
Dec 2018,109.44
Nov 2018,109.1
Oct 2018,108.93
Sep 2018,108.53
Aug 2018,108.77
Jul 2018,108.62
Jun 2018,107.9
May 2018,107.74
Apr 2018,107.52
Mar 2018,107.08
Feb 2018,106.88
Jan 2018,106.8
