Characteristic,Men,Women
Better education and social stability of the children,33%,42%
Mixed race children,31%,43%
A love of foreign cultures,24%,26%
No suitable partner in home country,21%,26%
Foreigners are romantic and have a good quality of life,12%,24%
Fondness for foreign mentalities,20%,18%
Oppurtunity to go aborad,15%,13%
Get along together well,11%,13%
Better financial situation of the partner,9%,11%
Better upbringing/ education,9%,11%
Harmonious sexlife,9%,3%
"Studied abroad, foreigners make a better match",5%,3%
Better appearance,2%,3%
Same religion,2%,2%
