Characteristic,Gross domestic product in billion U.S. dollars
2026*,19.6
2025*,18.75
2024*,17.92
2023*,17.01
2022*,15.94
2021*,14.6
2020*,13.95
2019,15.81
2018,15.65
2017,14.76
2016,14.11
2015,14.15
2014,13.86
2013,14.21
2012,14.77
2011,14.41
2010,13.19
2009,12.11
2008,13.74
2007,12.88
2006,11.95
2005,11.23
2004,10.18
2003,9.43
2002,9.72
2001,9.2
2000,9.07
1999,8.89
1998,8.79
1997,8.4
1996,7.39
1995,6.54
1994,5.53
1993,5.52
1992,4.33
1991,4.29
1990,4.66
1989,3.69
1988,3.18
1987,2.67
1986,2.37
