Characteristic,Net earnings in million U.S. dollars
Q3'19,319
Q2'19,440
Q1'19,1583
Q4'18,561
Q3 '18,488
Q2 '18,400
Q1 '18,511
Q4 '17,-41
Q3 '17,592
Q2 '17,58
Q1 '17,-252
Q4 '16,-113
Q3 '16,478
Q2 '16,423
Q1 '16,473
Q4 '15,261
Q3 '15,426
Q2 '15,332
Q1 '15,394
Q4'14,413
Q3'14,1639
Q2 '14,439
Q1 '14,468
Q4'13,470
Q3'13,494
Q2'13,472
Q1'13,443
Q4 '12,393
Q3'12,391
Q2'12,427
Q1'12,363
Q4 '11,370
Q3'11,338
Q2'11,395
Q1'11,202
Q4'10,283
Q3'10,317
Q2'10,150
Q1'10,-26
